numpy	jacobi
0.0	0.0
0.0	0.02
0.0	0.02
0.0	0.06
0.0	0.13
0.0	0.28
0.0	0.48
0.0	0.83
0.0	1.34
0.0	1.99
numpy	jacobi
0.02	0.0
0.0	0.0
0.0	0.02
0.0	0.08
0.0	0.13
0.0	0.25
0.0	0.52
0.0	0.81
0.0	1.3
0.0	1.91
numpy	jacobi
0.0	0.0
0.0	0.0
0.0	0.02
0.0	0.08
0.0	0.16
0.0	0.28
0.0	0.5
0.0	0.89
0.0	1.44
0.0	2.02
numpy	jacobi
0.04	0.0
0.0	0.0
0.01	0.02
0.0	0.07
0.0	0.14
0.0	0.31
0.0	0.54
0.01	0.95
0.0	1.39
0.02	2.06
numpy	jacobi
0.01	0.0
0.0	0.0
0.0	0.02
0.0	0.07
0.0	0.16
0.0	0.32
0.0	0.5
0.0	0.88
0.0	1.41
0.0	2.62
